"Id","AssignedUserId","Name","Description","ProjectId","StartDate","EndDate","CreatedAt","UpdatedAt","StatusId","CompletePercent","IsDeleted","CreatedById","ProjectWeight","IsTernary","PriorityId","Row","IsModified","ModifiedBy","CompletedDate","ProjectSectionId","CustomStatusId"
"203AA426-E3D9-4A90-9CE2-00770D9F77F0","","Finalizing Documents;","","E45DA13B-BAAB-4BCA-AB6A-06CDE4D33D50","","","2023-04-11 21:05:51.728392","2023-04-11 21:05:51.728393","00000000-0000-0000-0000-000000000000","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","25.0","False","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","4","False","00000000-0000-0000-0000-000000000000","","497690E8-CF0D-4965-2E67-08DB3346A1B2","1"
"20D53F22-1CF4-479D-B16F-03127B84252E","","Making changes to documents per discussions with Danielle and Jessica.","","2CFB8715-921F-4225-9B4F-84C683591902","","","2023-03-31 18:53:36.443719","2023-03-31 18:53:36.443720","00000000-0000-0000-0000-000000000000","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","6.25","False","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","10","False","00000000-0000-0000-0000-000000000000","","952EBE42-AD9E-4180-B487-08DB25797813","1"
"3A85AE12-0FEC-41AB-B36E-04AD060C4C01","","Reviewing MSA, SOW Template","","01BEB0C2-408C-4E65-9143-A7CDEF8382FD","","","2023-03-08 15:35:52.366900","2023-03-08 15:35:52.366901","00000000-0000-0000-0000-000000000000","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","33.333","False","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","1","False","00000000-0000-0000-0000-000000000000","","0DDCF2B2-6257-4B6C-6D02-08DB1F81A8E1","1"
"50BADCC5-41CC-47E6-987C-04B7E8188C33","","Meeting with Pauline; Preparing for meeting with Alexia regarding STRKTR","","1BE2CE96-2A5D-4C55-BC08-EE21FF46077C","","","2023-04-06 20:25:48.688325","2023-04-06 20:25:48.688326","00000000-0000-0000-0000-000000000000","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","14.286","False","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","5","False","00000000-0000-0000-0000-000000000000","","177C1A1C-745F-4080-0B1D-08DB2C66993F","1"
"4F4F9553-8021-4F13-BDF1-059E39F1A3F0","","Researching restructure options; cost analysis; tax analysis.","","C7F91CBC-C1C9-4F27-B568-EC204D2F0979","","","2023-03-03 13:37:05.242773","2023-03-03 13:37:05.242774","00000000-0000-0000-0000-000000000000","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","11.111","False","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","5","False","00000000-0000-0000-0000-000000000000","","BEE5F5B3-3597-409C-EFF5-08DB15E1FA78","1"
"D983B0AB-88C1-48B5-9E12-05AD5556DA7C","","Lloyd Jennings Business Update","","711F38BD-AC8D-4A70-9084-DCE2DE5C7C9D","","2023-03-09 07:00:00.000000","2023-03-07 15:56:53.618874","0001-01-01 00:00:00","97F56926-75BB-4C01-90AB-3F70B3F4E1B1","100","False","AB995316-AC5B-4F93-3F22-08DB008453BF","0.0","False","190DD6DC-54A6-417E-994D-9BB753EDC7D2","5","False","00000000-0000-0000-0000-000000000000","2023-03-29 14:41:20.124553","","0"
"642E3DF0-1609-4055-BE2B-08DB03AD09CC","","Consulting Service","This is default task created when task not selected","CB870CAD-4D9B-4686-99A1-6F3BC6E862EB","","","2023-01-31 18:21:46.357215","0001-01-01 00:00:00","97F56926-75BB-4C01-90AB-3F70B3F4E1B1","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","0.0","True","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","0","False","00000000-0000-0000-0000-000000000000","","","1"
"A3A45422-B3FA-47B8-E2C3-08DB062DAAB5","","Consulting Service","This is default task created when task not selected","E7F1918A-559C-4D8A-B622-601125F68CCA","","","2023-02-03 21:37:29.296581","0001-01-01 00:00:00","97F56926-75BB-4C01-90AB-3F70B3F4E1B1","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","0.0","True","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","0","False","00000000-0000-0000-0000-000000000000","","","1"
"9CC31DCF-51D3-4613-98CD-08DB27391FA1","","Consulting Service","This is default task created when task not selected","C62C700D-AC1B-419A-B0DA-25880913EEC7","","","2023-03-17 23:24:10.529254","0001-01-01 00:00:00","97F56926-75BB-4C01-90AB-3F70B3F4E1B1","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","0.0","True","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","0","False","00000000-0000-0000-0000-000000000000","","","1"
"3B6C6C6D-62D9-4174-CD16-08DB3228A888","","Consulting Service","This is default task created when task not selected","0674BAFD-59ED-4952-BD5E-5D00C41BC548","","","2023-03-31 21:24:29.112886","0001-01-01 00:00:00","97F56926-75BB-4C01-90AB-3F70B3F4E1B1","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","0.0","True","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","0","False","00000000-0000-0000-0000-000000000000","","","1"
"B0DE00BE-0717-4918-A34D-09A39D1055BD","","Reviewing Redline documents from Danielle/Jessica in preparation of call ","","2CFB8715-921F-4225-9B4F-84C683591902","","","2023-03-27 21:23:14.584543","2023-03-27 21:23:14.584544","00000000-0000-0000-0000-000000000000","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","6.25","False","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","5","False","00000000-0000-0000-0000-000000000000","","952EBE42-AD9E-4180-B487-08DB25797813","1"
"26809122-4ABA-4E3C-BEF6-0D2AF38EFE89","","Finished reviewing documents and emails relating to lease dispute; Call with Brandon","","C0F3A67A-FB91-43EE-935A-6E1103BC8195","","","2023-03-15 16:37:11.018906","2023-03-15 16:37:11.018907","00000000-0000-0000-0000-000000000000","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","16.667","False","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","5","False","00000000-0000-0000-0000-000000000000","","8901421F-9244-44EE-FEC6-08DB03AD2337","1"
"BE91081E-D817-44C2-ADB1-0E1BA3358441","","Reach out to Jonas Persch","","711F38BD-AC8D-4A70-9084-DCE2DE5C7C9D","","2023-03-08 07:00:00.000000","2023-03-07 15:57:19.836785","0001-01-01 00:00:00","97F56926-75BB-4C01-90AB-3F70B3F4E1B1","100","False","AB995316-AC5B-4F93-3F22-08DB008453BF","0.0","False","190DD6DC-54A6-417E-994D-9BB753EDC7D2","6","False","00000000-0000-0000-0000-000000000000","2023-03-29 14:44:25.049254","","0"
"CE64DE02-3AE3-4AC0-8B3A-0E5C5B2DD948","","Making changes to Privacy Policy and Informed consent documents;","","C2A53CF0-2A38-4FE1-8EE1-B12B3F7CA080","","","2023-04-21 21:24:44.785390","2023-04-21 21:24:44.785391","00000000-0000-0000-0000-000000000000","0","False","AB995316-AC5B-4F93-3F22-08DB008453BF","33.333","False","EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","3","False","00000000-0000-0000-0000-000000000000","","67486AC9-ABC3-4653-B12C-08DB4028CF04","1"
