"Id","IsDeleted","AccountId","OuId","AssignedDate"
"47453FB1-70C8-4636-9211-08DB0083F2A4","False","06A3A5D4-F1CE-4473-8857-08DB0083F296","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-27 16:31:31.349324"
"D70CDD86-6AFA-4BFD-9212-08DB0083F2A4","False","272627EE-17C3-4D08-8858-08DB0083F296","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-27 16:36:39.453210"
"9127C803-92B9-4996-9213-08DB0083F2A4","False","1782ABDF-B8F8-431B-8859-08DB0083F296","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-27 16:39:14.330207"
"011CB9C9-21E9-481D-9215-08DB0083F2A4","False","136D4EB2-6784-46CA-885B-08DB0083F296","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-27 16:45:05.299726"
"66EC91D0-D4B6-4FC2-9216-08DB0083F2A4","False","BE289861-3718-4AC7-885C-08DB0083F296","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-27 16:53:49.604843"
"21E03B30-4097-4AD3-5624-08DB02ECB4BF","False","6EDB720D-DF9C-4F43-C7EE-08DB02ECB4A0","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-30 22:51:30.738085"
"F0B072E6-3411-4511-626C-08DB03179FBF","False","278BBB65-C01B-4D3F-2230-08DB03179FA0","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-30 23:13:40.011763"
"3032B915-BF17-47AD-626D-08DB03179FBF","False","848083F0-7994-4FB5-2231-08DB03179FA0","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-30 23:45:47.892631"
"5912656A-0F70-49E3-3B0B-08DB0AD08D63","False","181B08D6-2644-4C84-154A-08DB0AD08D3C","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-09 22:31:08.808580"
"11515E6C-65FD-4D86-336E-08DB1065AA87","False","441F1402-923F-44BC-8A21-08DB1065AA67","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-16 21:35:03.959516"
"70E9CE2B-CA84-4DF3-3370-08DB1065AA87","False","0FC18F7D-C662-4813-8A23-08DB1065AA67","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-16 22:21:32.628331"
"413EFBD3-AB22-415A-4080-08DB1131CCBC","False","E0132BE0-C3A0-4DFE-428D-08DB1131CC9A","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-17 21:56:18.666068"
"AB5C33DB-2DE6-438A-4870-08DB15BD2564","False","F7B05C42-C22B-4C0D-8F55-08DB15BD253C","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-23 19:50:14.873788"
"CF27F11F-3F83-4703-4872-08DB15BD2564","False","10A07E8B-F46E-4C1D-8F57-08DB15BD253C","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-23 20:09:23.624403"
"D4962469-09D2-4F56-4874-08DB15BD2564","False","CE423CA4-3A1C-4D34-8F59-08DB15BD253C","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-23 20:36:33.280299"
"5D91E660-6EEE-4A6C-4875-08DB15BD2564","False","056C3E4E-E5D6-4D4B-8F5A-08DB15BD253C","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-23 20:46:58.316100"
"F342759C-8085-4B96-246C-08DB190FF9A3","False","591A53BD-CC59-4B93-0298-08DB190FF997","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-27 23:06:33.880559"
"8CE6B2BF-F5E6-490D-5D1D-08DB1A809E3F","False","65366BAE-B890-4FFF-F3F0-08DB1A809E26","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-03-01 19:01:24.130512"
