"UserId","RoleId"
"D401284E-B5D9-4C6D-9FA7-08DAF288810D","03DC4874-0636-43F8-4613-08DAF28880F7"
"487F4A47-9CCF-42BB-D85B-08DAF8A9D2B6","03DC4874-0636-43F8-4613-08DAF28880F7"
"C6992E31-6EE2-482C-D85D-08DAF8A9D2B6","03DC4874-0636-43F8-4613-08DAF28880F7"
"A753707C-58AB-43A4-D85E-08DAF8A9D2B6","03DC4874-0636-43F8-4613-08DAF28880F7"
"50A482D2-A62E-4DDD-8181-08DAFF1D643C","03DC4874-0636-43F8-4613-08DAF28880F7"
"DA6AC379-A8D7-4507-8182-08DAFF1D643C","03DC4874-0636-43F8-4613-08DAF28880F7"
"6FF70A9C-83D2-4E93-8187-08DAFF1D643C","03DC4874-0636-43F8-4613-08DAF28880F7"
"6C52524A-A942-4393-3226-08DB08708FC4","03DC4874-0636-43F8-4613-08DAF28880F7"
"4DE2FC93-0AFA-4B7F-3227-08DB08708FC4","03DC4874-0636-43F8-4613-08DAF28880F7"
"65D8196F-526E-40B2-B8B7-08DB15FCEE0F","03DC4874-0636-43F8-4613-08DAF28880F7"
"AEAC3BF4-3962-4BC0-A860-08DB200229FA","03DC4874-0636-43F8-4613-08DAF28880F7"
"AB995316-AC5B-4F93-3F22-08DB008453BF","F9414E3C-F7D1-409A-4614-08DAF28880F7"
"CD7DD6E6-10B1-44F4-3F24-08DB008453BF","733C3116-240D-40D1-4617-08DAF28880F7"
"BB3C2856-1B9B-448B-3F25-08DB008453BF","733C3116-240D-40D1-4617-08DAF28880F7"
"D8F554E2-614B-440A-3F26-08DB008453BF","733C3116-240D-40D1-4617-08DAF28880F7"
"966DA69A-D788-4917-F8DC-08DB02E87D95","733C3116-240D-40D1-4617-08DAF28880F7"
"05DF60B1-4BB8-4FE0-F813-08DB0317D6BB","733C3116-240D-40D1-4617-08DAF28880F7"
"892AF1F8-A51A-4AEF-F814-08DB0317D6BB","733C3116-240D-40D1-4617-08DAF28880F7"
"BEDA557A-3E2B-4828-AD17-08DB0AD36871","733C3116-240D-40D1-4617-08DAF28880F7"
"1F95112D-7161-4262-9790-08DB1065CEA5","733C3116-240D-40D1-4617-08DAF28880F7"
"84C0E27D-FADC-450A-9793-08DB1065CEA5","733C3116-240D-40D1-4617-08DAF28880F7"
"9807812D-CAA4-4927-7A2C-08DB1131FD87","733C3116-240D-40D1-4617-08DAF28880F7"
"F9D4F925-E753-4E3D-7A9B-08DB15C40344","733C3116-240D-40D1-4617-08DAF28880F7"
"82A1432D-C6CC-46B2-7A9C-08DB15C40344","733C3116-240D-40D1-4617-08DAF28880F7"
"A2E9D2FF-13BB-4958-7A9E-08DB15C40344","733C3116-240D-40D1-4617-08DAF28880F7"
"C44DE254-4C9A-41F1-7A9F-08DB15C40344","733C3116-240D-40D1-4617-08DAF28880F7"
"2A655A64-34E3-4D30-3189-08DB1913F9DD","733C3116-240D-40D1-4617-08DAF28880F7"
"B2A0E076-2C59-4ADA-A001-08DB1A7EC333","733C3116-240D-40D1-4617-08DAF28880F7"
"0113918A-F8F5-44B5-BC71-08DB1AB7B3F8","733C3116-240D-40D1-4617-08DAF28880F7"
"4FA86DD3-E254-4F9C-8540-08DB1B5C0FE2","733C3116-240D-40D1-4617-08DAF28880F7"
"7B359906-B290-48E3-4151-08DB2BD11675","733C3116-240D-40D1-4617-08DAF28880F7"
"C193B6F8-90F1-45AF-5F58-08DB2ED7DE81","733C3116-240D-40D1-4617-08DAF28880F7"
"025D461C-6590-4C94-7549-08DB2F1F660C","733C3116-240D-40D1-4617-08DAF28880F7"
"F41999DC-0B9E-47F1-754A-08DB2F1F660C","733C3116-240D-40D1-4617-08DAF28880F7"
"AEC355EA-8CC2-4C2B-33E9-08DB314262B4","733C3116-240D-40D1-4617-08DAF28880F7"
"5FE8DE04-B1E5-4D94-1343-08DB36C38B1F","733C3116-240D-40D1-4617-08DAF28880F7"
"3E9940B5-EDAD-4D03-1344-08DB36C38B1F","733C3116-240D-40D1-4617-08DAF28880F7"
"379DDAA2-93E3-4A3B-B2B8-08DB3D4AE821","733C3116-240D-40D1-4617-08DAF28880F7"
"5272E0A3-865C-438C-971B-08DB45B22B8D","733C3116-240D-40D1-4617-08DAF28880F7"
"5EB4FC0A-6D29-401B-971C-08DB45B22B8D","733C3116-240D-40D1-4617-08DAF28880F7"
"56405CB0-F063-4086-1407-08DB1E5A891C","E00EDF19-74BF-4FEA-4619-08DAF28880F7"
"43F40749-BF2F-4C77-8183-08DAFF1D643C","31486033-9778-4378-461A-08DAF28880F7"
"E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","31486033-9778-4378-461A-08DAF28880F7"
"4951911B-8B0F-4CD8-8185-08DAFF1D643C","31486033-9778-4378-461A-08DAF28880F7"
"C73CFED1-5618-45BA-8186-08DAFF1D643C","31486033-9778-4378-461A-08DAF28880F7"
"F4A5AF47-4C44-415C-8189-08DAFF1D643C","31486033-9778-4378-461A-08DAF28880F7"
"DEC81EF5-9DA6-4E21-8188-08DAFF1D643C","04290DCB-CE42-450D-461B-08DAF28880F7"
"038063A1-CFE8-4FCD-8180-08DAFF1D643C","7C31D49A-1933-4627-461C-08DAF28880F7"
"3C352924-C5FD-4B56-818A-08DAFF1D643C","7C31D49A-1933-4627-461C-08DAF28880F7"
